Security,CO6 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
3/24/2021,62.66,33635
3/23/2021,59.74,58383
3/22/2021,62.86,16994
3/19/2021,62.62,49038
3/18/2021,61.47,52591
3/17/2021,65.36,32431
3/16/2021,65.38,16083
3/15/2021,65.67,18431
3/12/2021,65.95,18677
3/11/2021,66.15,21089
3/10/2021,64.77,25932
3/9/2021,64.56,29644
3/8/2021,65.03,31788
3/5/2021,65.73,25674
3/4/2021,63.66,30154
3/3/2021,61.48,19490
3/2/2021,60.18,18448
3/1/2021,60.77,15282
2/26/2021,61.9,35630
2/25/2021,63.68,38097
2/24/2021,63.76,43021
2/23/2021,62.13,40709
2/22/2021,61.92,43547
2/19/2021,59.9,47506
2/18/2021,60.69,49152
2/17/2021,61.07,52016
2/16/2021,60.52,33637
2/15/2021,60.48,35769
2/12/2021,59.77,39314
2/11/2021,58.84,29334
2/10/2021,59.18,34275
2/9/2021,58.9,49548
2/8/2021,58.55,32925
2/5/2021,57.44,28370
2/4/2021,56.97,35051
2/3/2021,56.62,28706
2/2/2021,55.79,32079
2/1/2021,54.81,17773
1/29/2021,53.91,14602
1/28/2021,54.03,16074
1/27/2021,54.52,12709
1/26/2021,54.52,16757
1/25/2021,54.67,19194
1/22/2021,54.29,16862
1/21/2021,54.95,11528
1/20/2021,54.97,14504
1/19/2021,54.97,20592
1/18/2021,54.09,11310
1/15/2021,54.49,17363
1/14/2021,55.57,20282
1/13/2021,55.23,27206
1/12/2021,55.37,17686
1/11/2021,54.52,14945
1/8/2021,54.57,25263
1/7/2021,53.3,32352
1/6/2021,53.16,41341
1/5/2021,52.77,30500
1/4/2021,50.8,28243
12/31/2020,51.35,7055
12/30/2020,51.43,10542
12/29/2020,51.19,7474
12/28/2020,50.89,6347
12/24/2020,51.3,3313
12/23/2020,51.15,11054
12/22/2020,50.15,10992
12/21/2020,50.88,13784
12/18/2020,52.02,11231
12/17/2020,51.41,17526
12/16/2020,50.82,16006
12/15/2020,50.43,16099
12/14/2020,50.03,19172
12/11/2020,49.62,18458
12/10/2020,49.8,21870
12/9/2020,48.66,17292
12/8/2020,48.81,16488
12/7/2020,48.8,17012
12/4/2020,49.02,16629
12/3/2020,48.36,17613
12/2/2020,48.05,18324
12/1/2020,47.42,13817
11/30/2020,48.14,76978
11/27/2020,48.46,50680
11/26/2020,47.92,32767
11/25/2020,48.58,122747
11/24/2020,47.84,129520
11/23/2020,46.14,88677
11/20/2020,45.47,70708
11/19/2020,45,44189
11/18/2020,45.18,61050
11/17/2020,44.81,57466
11/16/2020,44.81,79089
11/13/2020,43.95,49691
11/12/2020,44.78,62568
11/11/2020,45.06,85144
11/10/2020,44.91,74619
11/9/2020,43.97,110342
11/6/2020,41.29,44342
11/5/2020,42.65,44449
11/4/2020,43.02,51606
11/3/2020,41.73,58130
11/2/2020,41.18,91615
10/30/2020,39.69,33867
10/29/2020,39.85,30384
10/28/2020,41.05,20250
10/27/2020,42.83,14635
10/26/2020,42.08,14751
10/23/2020,43.14,23229
10/22/2020,43.89,12376
10/21/2020,43.3,12885
10/20/2020,44.74,13629
10/19/2020,44.23,12225
10/16/2020,44.37,6373
10/15/2020,44.57,16870
10/14/2020,44.75,11728
10/13/2020,44.12,14137
10/12/2020,43.53,11242
10/9/2020,44.56,19290
10/8/2020,44.97,19578
10/7/2020,43.87,11771
10/6/2020,44.51,12112
10/5/2020,43.36,13767
10/2/2020,41.44,18574
10/1/2020,42.96,17630
9/30/2020,43.78,15496
9/29/2020,42.96,12923
9/28/2020,44.21,7738
9/25/2020,43.86,6826
9/24/2020,44.02,12047
9/23/2020,43.72,9279
9/22/2020,43.66,11746
9/21/2020,43.53,10054
9/18/2020,45.12,14304
9/17/2020,45.24,16002
9/16/2020,44.46,16883
9/15/2020,43.08,16479
9/14/2020,42.38,13103
9/11/2020,42.38,11440
9/10/2020,42.53,11959
9/9/2020,43.18,15469
9/8/2020,42.27,19074
9/7/2020,44.36,6718
9/4/2020,44.98,10945
9/3/2020,46.29,14868
9/2/2020,46.4,18619
9/1/2020,47.32,10854
8/31/2020,46.99,8203
8/28/2020,47.32,19643
8/27/2020,47.01,16051
8/26/2020,47.55,18424
8/25/2020,47.58,18639
8/24/2020,47.09,14343
8/21/2020,46.47,17667
8/20/2020,47.12,14467
8/19/2020,47.48,19326
8/18/2020,47.56,18952
8/17/2020,47.5,25340
8/14/2020,46.88,23452
8/13/2020,46.86,15816
8/12/2020,47.28,18279
8/11/2020,46.38,14744
8/10/2020,46.67,10472
8/7/2020,46.07,12956
8/6/2020,46.8,14881
8/5/2020,46.97,24899
8/4/2020,46.27,20471
8/3/2020,45.96,21908
7/31/2020,44.78,11643
7/30/2020,44.59,17234
7/29/2020,45.48,14106
7/28/2020,45.1,16434
7/27/2020,45.41,19276
7/24/2020,45.08,16468
7/23/2020,44.65,11974
7/22/2020,45.43,13448
7/21/2020,45.36,15878
7/20/2020,44.38,11665
7/17/2020,44.19,9036
7/16/2020,44.25,9017
7/15/2020,44.58,18019
7/14/2020,44.04,8734
7/13/2020,43.85,12196
7/10/2020,44.28,23471
7/9/2020,43.41,12460
7/8/2020,44.22,8262
7/7/2020,43.99,16062
7/6/2020,43.85,9382
7/3/2020,43.48,7978
7/2/2020,43.63,13623
7/1/2020,42.74,11975
6/30/2020,41.95,12164
6/29/2020,42.5,16611
6/26/2020,41.44,17999
6/25/2020,41.86,16099
6/24/2020,41.36,19290
6/23/2020,43.27,21511
6/22/2020,43.48,18836
6/19/2020,42.53,21917
6/18/2020,41.95,20892
6/17/2020,41.58,16089
6/16/2020,42.21,18243
6/15/2020,41.16,28670
6/12/2020,40.2,22783
6/11/2020,40.07,19561
6/10/2020,42.86,21464
6/9/2020,42.65,21560
6/8/2020,42.03,18300
6/5/2020,43.34,25874
6/4/2020,41.57,14468
6/3/2020,41.25,19317
6/2/2020,40.8,25239
6/1/2020,39.71,29443
5/29/2020,39.41,119299
5/28/2020,38.05,111843
5/27/2020,37.57,105766
5/26/2020,38.66,89342
5/25/2020,38.15,11468
5/22/2020,37.66,93011
5/21/2020,38.18,109516
5/20/2020,37.88,91918
5/19/2020,37.01,81981
5/18/2020,37.11,135194
5/15/2020,35.11,101561
5/14/2020,34.26,125683
5/13/2020,33.17,112277
5/12/2020,33.8,104305
5/11/2020,33.93,108053
5/8/2020,35.33,55281
5/7/2020,33.49,105939
5/6/2020,33.78,113172
5/5/2020,35.08,120813
5/4/2020,32.5,105038
5/1/2020,32.18,89380
4/30/2020,32.1,52189
4/29/2020,30.54,36495
4/28/2020,29.86,39693
4/27/2020,30.38,29578
4/24/2020,31.32,38912
4/23/2020,31.54,37988
4/22/2020,31.55,55325
4/21/2020,30.46,79238
4/20/2020,35.71,29923
4/17/2020,36.67,32015
4/16/2020,36.71,32351
4/15/2020,36.77,33821
4/14/2020,39.12,42735
4/13/2020,39.38,24484
4/9/2020,38,44371
4/8/2020,38.19,33080
4/7/2020,38.24,29308
4/6/2020,37.9,30779
4/3/2020,37.83,52564
4/2/2020,36.43,64299
4/1/2020,34.81,38645
3/31/2020,35.49,45430
3/30/2020,35.77,49431
3/27/2020,36.03,46871
3/26/2020,35.75,33222
3/25/2020,36.75,43279
3/24/2020,35.72,27110
3/23/2020,34.83,45476
3/20/2020,33.87,37810
3/19/2020,35.02,34869
3/18/2020,31.84,38995
3/17/2020,35.24,30199
3/16/2020,36.2,44438
3/13/2020,39.38,40521
3/12/2020,39.54,99629
3/11/2020,40.42,72050
3/10/2020,40.63,50273
3/9/2020,37.66,110894
3/6/2020,46.84,82381
3/5/2020,50.75,24076
3/4/2020,51.61,22973
3/3/2020,51.82,29440
3/2/2020,51.75,26721
2/28/2020,49.85,72397
2/27/2020,51.96,65125
2/26/2020,53.01,54678
2/25/2020,54.24,39109
2/24/2020,55.77,54286
2/21/2020,57.24,50840
2/20/2020,57.98,53333
2/19/2020,58.14,51388
2/18/2020,57.3,55847
2/17/2020,57.31,20443
2/14/2020,57.15,50272
2/13/2020,56.66,51638
2/12/2020,56.29,56387
2/11/2020,54.93,56511
2/10/2020,54.51,58425
2/7/2020,55.42,44023
2/6/2020,55.7,59470
2/5/2020,55.4,59003
2/4/2020,54.2,77674
2/3/2020,54.56,89203
1/31/2020,55.79,43782
1/30/2020,56.08,62175
1/29/2020,57.04,34268
1/28/2020,56.91,46184
1/27/2020,56.62,36505
1/24/2020,57.51,24902
1/23/2020,58.87,31865
1/22/2020,59.99,18793
1/21/2020,61.27,24777
1/20/2020,61.64,10887
1/17/2020,61.43,16509
1/16/2020,61.42,21737
1/15/2020,60.96,18109
1/14/2020,61.42,24739
1/13/2020,61.2,22043
1/10/2020,61.86,24838
1/9/2020,62.22,26037
1/8/2020,62.25,42382
1/7/2020,64.86,20276
1/6/2020,65.2,25257
1/3/2020,65.02,33331
1/2/2020,63.29,11503
12/31/2019,62.93,16848
12/30/2019,64.17,14751
12/27/2019,64.32,11322
12/26/2019,64.25,5743
12/24/2019,63.72,4632
12/23/2019,63.03,16683
12/20/2019,62.84,20361
12/19/2019,63.07,21091
12/18/2019,62.82,18977
12/17/2019,62.77,23237
12/16/2019,62.19,12998
12/13/2019,61.97,19814
12/12/2019,61.14,26315
12/11/2019,60.75,19888
12/10/2019,61.42,19890
12/9/2019,61.13,18499
12/6/2019,61.15,23475
12/5/2019,60.49,21336
12/4/2019,60.33,17857
12/3/2019,58.52,12015
12/2/2019,58.63,18440
11/29/2019,58.57,52293
11/28/2019,61.31,23324
11/27/2019,60.97,52580
11/26/2019,61.21,52465
11/25/2019,60.67,46331
11/22/2019,60.37,52136
11/21/2019,60.89,68660
11/20/2019,59.62,76125
11/19/2019,58.25,63454
11/18/2019,59.62,49902
11/15/2019,60.46,56610
11/14/2019,59.64,62074
11/13/2019,59.82,72274
11/12/2019,59.55,85615
11/11/2019,59.45,44414
11/8/2019,59.71,76852
11/7/2019,59.43,71547
11/6/2019,58.89,71482
11/5/2019,60.21,55900
11/4/2019,59.57,51381
11/1/2019,59.3,49758
10/31/2019,57.58,22237
10/30/2019,58.29,29212
10/29/2019,59.44,11816
10/28/2019,59.52,10111
10/25/2019,59.97,12226
10/24/2019,59.58,12344
10/23/2019,59.18,13489
10/22/2019,57.91,16749
10/21/2019,57.3,15253
10/18/2019,57.52,14792
10/17/2019,57.84,12809
10/16/2019,57.81,12979
10/15/2019,57.31,13735
10/14/2019,57.98,18328
10/11/2019,58.71,17999
10/10/2019,57.33,16496
10/9/2019,56.58,11979
10/8/2019,56.56,15987
10/7/2019,56.54,21896
10/4/2019,56.44,16883
10/3/2019,55.82,16010
10/2/2019,56.01,22908
10/1/2019,56.91,21865
9/30/2019,57.26,15057
9/27/2019,58.7,17524
9/26/2019,59.31,18917
9/25/2019,59.07,16097
9/24/2019,59.68,20496
9/23/2019,61.06,11632
9/20/2019,60.62,8697
9/19/2019,60.81,16696
9/18/2019,60.32,20470
9/17/2019,61.11,44177
9/16/2019,64.07,54087
9/13/2019,57.68,11968
9/12/2019,58.07,20820
9/11/2019,58.6,21359
9/10/2019,59.91,20414
9/9/2019,60.02,14371
9/6/2019,59.07,19355
9/5/2019,58.72,21855
9/4/2019,58.57,13690
9/3/2019,56.32,18784
9/2/2019,56.65,3687
8/30/2019,57.41,44771
8/29/2019,58.78,42639
8/28/2019,58.28,36266
8/27/2019,57.56,19459
8/26/2019,56.64,33476
8/23/2019,57.31,53770
8/22/2019,58.12,29912
8/21/2019,58.5,37190
8/20/2019,58.3,28002
8/19/2019,57.95,29542
8/16/2019,56.99,18061
8/15/2019,56.75,25137
