Date,result_5,result_10,pca_0,pca_1,pca_2,pca_3,pca_4,contago,contago_next,status_change,result_10_ma
2011-09-30,0.039839713957522616,0.07809222510682723,1.9421194207665675,1.317713970785914,0.0181748165569012,0.066105371442098,0.0465585711513698,0,0.0,0,0.046910322247600125
2011-10-03,0.019510275846995162,0.03863990083036439,2.082598124183098,1.4968983822315716,0.0754063853454331,-0.0020791922033554,0.0250139348679249,0,0.0,0,0.04689134306805713
2011-10-04,0.0363318942927513,0.07134378204260283,1.930510749442422,1.3148430797322184,-0.0676300389518494,-0.0533634057442518,0.0229608199394749,0,0.0,0,0.05337112140461393
2011-10-05,0.02130553261221979,0.04215713950454947,1.8343481186003971,1.1116153146019585,-0.069185469205432,-0.0988700143213662,0.0177369862107498,0,0.0,0,0.05409201293245021
2011-10-06,0.019491627367874687,0.038603331198301616,1.84739888028584,1.0379498990685172,-0.1267842560318451,-0.1310739582039589,0.004472152171572,0,0.0,0,0.053767275736529105
2011-10-07,0.021713069243600724,0.042954681111224025,2.1082047326594355,1.1373763031066826,-0.1168201864153423,-0.1400301872628149,0.022843640795878,0,0.0,0,0.046739766937408465
2011-10-10,0.01940208459216075,0.03842772829780028,2.6398506571081,1.4689833199029532,0.0552046982151176,-0.1427423035572562,0.0150863303845756,0,0.0,0,0.04669733243089565
2011-10-11,0.028742024923864795,0.056657945851005476,2.880018985798565,1.755739807957004,0.1887581251740286,-0.1636877745379603,0.0040104584807156,0,0.0,0,0.043760165192576174
2011-10-12,0.019080741189412276,0.037797407694487584,2.905133148566473,1.5057888997655493,-0.0402136649927793,-0.2354653382704098,-0.0041002278985371,0,0.0,0,0.0428882188305638
2011-10-13,0.02040657532486767,0.04039672233324665,2.8318073698400794,1.037607972143821,-0.2801301655420112,-0.1921941104500758,0.0176502791366554,0,0.0,0,0.0432468970575528
2011-10-14,0.01908932622300963,0.037814250070370425,3.256559929028505,1.3296421513502878,-0.044673950451873,-0.091320493751645,0.0196762566194565,0,0.0,0,0.04221881084938208
2011-10-17,0.030601330846666386,0.06026622024374628,2.190003410276784,0.7347728910074334,-0.0252089468607348,-0.1265657945054469,0.0214163302213411,0,0.0,0,0.046586509238571286
