,start_5day,end_5day,start_end_5day,start_10day,end_10day,start_end_10day,start_30day,end_30day,start_end_30day,start_60day,end_60day,start_end_60day,pca_0,pca_1,pca_2,pca_3,pca_4,contago,contago_next,status_change
2020-02-20,0.012068912105820862,0.012278411800821119,0.02434732390664185,0.023843978499400505,0.024257877132468506,0.04810185563186886,0.06814628658740812,0.06932921228363359,0.13747549887104182,0.12692412843000325,0.12912735652223825,0.2560514849522413,0.5767327493901022,0.3400481972385393,-0.018110826155396,0.0314105678371678,-0.0051790344018965,0,0.0,0
2020-02-21,0.012680404891658097,0.012669575653009569,0.025349980544667527,0.02503936176601415,0.02501797780970615,0.05005733957572023,0.07142061585537855,0.07135962167576591,0.14278023753114444,0.13264377921430556,0.13253049961853341,0.26517427883283906,0.5259301651902692,0.42662615912471,0.0077259973544029,0.0279406424560449,-0.0091715908121611,0,0.0,0
2020-02-24,0.01578277840269109,0.01582038128382269,0.03160315968651384,0.031066771139225076,0.031140788531631193,0.06220755967085645,0.08752277094394022,0.08773129622815455,0.17525406717209457,0.1597068203097833,0.16008732597404518,0.3197941462838285,0.1599516938391815,0.5316029787016489,0.1429170554094488,0.0344168324480068,-0.0125597735155072,0,0.0,0
2020-02-25,0.01556540291352175,0.015327564783053568,0.030892967696575013,0.03064994433765189,0.0301816156023971,0.06083155994004885,0.08646980070026047,0.08514854895658475,0.17161834965684508,0.15809979690918582,0.15568404446556522,0.3137838413747507,0.2404763657371394,0.648047258495522,0.2134913194386838,0.0661107011766046,-0.011012969236622,0,0.0,0
2020-02-26,0.015992525752589297,0.01586878488811629,0.03186131064070552,0.03147550867424585,0.031231969491421766,0.0627074781656678,0.08862904557469821,0.08794328555864475,0.17657233113334292,0.1616086539661485,0.1603582201786742,0.3219668741448227,0.0548141345568298,0.7052000681195372,0.1752840863193313,0.0396930527512202,-0.0123108600734765,0,0.0,0
2020-02-27,0.016284549310295413,0.015415057542735167,0.03169960685303019,0.03205288480967568,0.03034146382174879,0.06239434863142468,0.09028368145582923,0.08546310482978496,0.17574678628561413,0.16470029604176253,0.15590634363974482,0.32060663968150704,-0.0873493947019405,0.6715679719133357,0.0299201887113045,-0.0002791712267366,-0.0308610242153588,0,0.0,0
2020-02-28,0.012257631490211566,0.011867038540392056,0.02412467003060348,0.02421955166536505,0.023447788691756705,0.047667340357121946,0.06925024122646617,0.06704356238986076,0.13629380361632704,0.12906210367482937,0.12494950265361911,0.25401160632844855,0.0696216651248583,1.02544836281553,0.1528982245912604,0.0646515678476034,-0.0019430905728748,0,0.0,0
2020-03-02,0.015416576854030686,0.017700254438657092,0.03311683129268772,0.030322605533275683,0.034814332537231533,0.06513693807050691,0.08517110494202582,0.097787611515151,0.18295871645717687,0.15475941384461914,0.17768412714207701,0.33244354098669593,-0.1292974475620429,0.4106849838020227,-0.1591702279999895,0.0176221517183802,-0.0113508318828357,0,0.0,0
2020-03-03,0.018946206800968198,0.016408936953287174,0.035355143754255636,0.03722256773689032,0.03223773358173637,0.0694603013186268,0.10409081986609914,0.09015101115182111,0.19424183101792014,0.18796284828925092,0.16279092482939575,0.35075377311864653,-0.1891331517398166,0.3919515784636427,-0.1895374358418912,-0.0085660675278059,-0.0232861319623497,0,1.0,1
2020-03-04,0.016231424897494812,0.01404243165908274,0.03027385655657766,0.03197146196593401,0.02765974475641287,0.05963120672234701,0.09030858203292069,0.07812943715259926,0.1684380191855197,0.16540576539276325,0.1430989066711352,0.3085046720638984,-0.4350747703667953,0.2616498928824833,-0.1952849791794911,0.001962670041991,-0.0075296865589404,1,1.0,0
2020-03-05,0.014339791540737922,0.012048859846541035,0.026388651387279083,0.028301175321541045,0.023779766530977502,0.05208094185251855,0.08055843516722673,0.0676883825004773,0.1482468176677041,0.14917433868462152,0.12534217770218414,0.2745165163868055,-0.5584663711885903,0.2384890064006214,-0.1667478484345794,0.0123709714677397,-0.0134196820306018,1,1.0,0
2020-03-06,0.01391442049356088,0.01186515871421842,0.025779579207779513,0.027470133081877644,0.02342443862955076,0.050894571711428416,0.07828731198776837,0.06675746089995378,0.14504477288772222,0.1452194585882801,0.12383210104511233,0.26905155963339245,-1.0971097193060677,0.5041416832795157,-0.1844040731660927,0.0172570841705469,-0.0059028568040966,1,1.0,0
